observation_id,sso_name,ra_deg_1,dec_deg_1,ra_deg_2,dec_deg_2,filter,xmatch_type,v_mag_1,v_mag_1_corrected,mlim_obs,FITS_FILE,DECISION
0781040101,Barbara,50.011715,0.46338347,50.32284,0.31945792,L,2,12.36,13.8442,20.696785,P0781040101OMS008FSIMAGL000.FTZ,Y
0781040101,Barbara,50.011715,0.46338347,50.32284,0.31945792,L,2,12.36,13.8442,20.696785,P0781040101OMS010FSIMAGL000.FTZ,Y
0743010501,Ohio,346.1028,0.15892091,346.18143,0.14519955,L,4,15.56,17.0442,19.943396,,N
0803030301,Ada,257.42123,-24.233213,257.455,-24.233345,L,2,16.18,17.6642,20.112686,P0803030301OMS007FSIMAGL000.FTZ,Y
0803030301,Ada,257.42123,-24.233213,257.455,-24.233345,L,2,16.18,17.6642,20.112686,P0803030301OMS006FSIMAGL000.FTZ,Y
0302352401,Aaltje,149.75444,2.0376306,149.79918,2.0355196,L,2,14.8,16.2842,20.291054,P0302352401OMS404SIMAGE1000.FTZ,Y
0821871601,Transvaalia,342.0188,-22.215204,342.12317,-22.20173,L,2,15.22,16.7042,20.268137,P0821871601OMS006FSIMAGL000.FTZ,Y
0821730101,Hilaritas,1.9118078,0.80626416,1.9468724,0.8206579,L,2,17.08,18.5642,20.059668,P0821730101OMS006SIMAGE1000.FTZ,Y
0821730101,Hilaritas,1.9118078,0.80626416,1.9468724,0.8206579,L,2,17.08,18.5642,20.059668,P0821730101OMS403SIMAGE1000.FTZ,Y
0744500301,Deflotte,65.373856,19.482136,65.4893,19.49373,L,2,16.55,18.0342,20.455608,P0744500301OMS401SIMAGE2000.FTZ,Y
0744500301,Deflotte,65.373856,19.482136,65.4893,19.49373,L,2,16.55,18.0342,20.455608,P0744500301OMS007SIMAGE2000.FTZ,Y
0611181301,Solvejg,83.62468,21.971067,83.62883,21.973623,L,2,16.23,17.7142,19.626968,P0611181301OMS006FSIMAGL000.FTZ,D
0611181501,Solvejg,83.67155,21.989376,83.67962,21.988138,L,2,16.24,17.7242,20.580872,P0611181501OMS007FSIMAGL000.FTZ,D
0611181501,Solvejg,83.67155,21.989376,83.67962,21.988138,L,2,16.24,17.7242,20.580872,P0611181501OMS006FSIMAGL000.FTZ,D
0740920301,Tampere,189.99167,-5.2425995,190.04404,-5.2669373,L,2,17.28,18.7642,19.431232,P0740920301OMS406SIMAGE1000.FTZ,D
0405950101,Wells,171.26674,-13.057991,171.30545,-13.055931,L,2,16.55,18.0342,19.766872,P0405950101OMS401SIMAGE1000.FTZ,Y
0801681301,Brouwer,267.38107,-28.530476,267.4505,-28.520363,L,2,16.59,18.0742,20.203415,P0801681301OMS006FSIMAGL000.FTZ,Y
0801681301,Brouwer,267.38107,-28.530476,267.4505,-28.520363,L,2,16.59,18.0742,20.203415,P0801681301OMS007FSIMAGL000.FTZ,Y
