slot,x,y,width_pix,theta_rad,height_h_pix,height6_pix,semi_out_pix,rate_h,rate_h_err,rate6,rate6_err,c1,c1_err,fits_name,obs_id,filter,target
1,263.24634240318767,437.3757082007987,13.0,0.979020156253392,9.0,13.0,6.0,1.4297777956236275,0.022218497129884492,1.4638781105917622,0.024219016200686,1.0238500801121067,,P0400890201OMS409SIMAGE2000.FTZ,0400890201,L,Tinette
2,225.08977969550762,536.8403101573707,13.0,0.979020156253392,9.0,13.0,6.0,0.19263458423930574,0.014713096984286815,0.17855057708958694,0.017376053488562852,0.9268874423285148,,P0400890201OMS409SIMAGE2000.FTZ,0400890201,L,Tinette
3,296.8785956243909,195.3102049752543,13.0,0.979020156253392,9.0,13.0,6.0,6.199567316417364,0.04013149702035013,6.30705059657151,0.041692421894366276,1.0173372228525552,,P0400890201OMS409SIMAGE2000.FTZ,0400890201,L,Tinette
4,264.86288921352224,194.37193823651972,13.0,0.979020156253392,9.0,13.0,6.0,1.032800348081393,0.020556714522455923,1.0447299252578077,0.02281610173168012,1.0115507098720251,,P0400890201OMS409SIMAGE2000.FTZ,0400890201,L,Tinette
5,245.60629959993003,84.56657044427143,13.0,0.979020156253392,9.0,13.0,6.0,2.3206917716015227,0.026673536389238833,2.358953733847635,0.028527634361664028,1.0164873089629252,,P0400890201OMS409SIMAGE2000.FTZ,0400890201,L,Tinette
1,263.24634240318767,437.3757082007987,13.0,1.0502154933032375,8.0,13.0,6.0,1.4163830036129685,0.021681974329879967,1.46248127397668,0.024197138142011708,1.0325464724203284,,P0400890201OMS409SIMAGE2000.FTZ,0400890201,L,Tinette
2,225.08977969550762,536.8403101573707,13.0,1.0502154933032375,8.0,13.0,6.0,0.19186761402890254,0.013995975416528052,0.17674377369440725,0.017408194827182574,0.9211756480579517,,P0400890201OMS409SIMAGE2000.FTZ,0400890201,L,Tinette
3,232.27188600586055,622.4884354752982,13.0,1.0502154933032375,8.0,13.0,6.0,4.231416873859757,0.03367120141133278,4.312061071239556,0.035773485442112216,1.0190584382923817,,P0400890201OMS409SIMAGE2000.FTZ,0400890201,L,Tinette
4,301.64903545409754,371.15295913709383,13.0,1.0502154933032375,8.0,13.0,6.0,0.2514066704587033,0.01454880685422349,0.25567699629444196,0.017959594390673267,1.0169857300442635,,P0400890201OMS409SIMAGE2000.FTZ,0400890201,L,Tinette
5,296.8785956243909,195.3102049752543,13.0,1.0502154933032375,8.0,13.0,6.0,6.140920588356021,0.03966809574169248,6.307326951969068,0.041722243749768434,1.0270979507418765,,P0400890201OMS409SIMAGE2000.FTZ,0400890201,L,Tinette
